Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
"Table 1. Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin: 2022",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
Black Alone or in Combination,,,,,,,,,,,,,,,,
Characteristic,Educational attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate3,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
Both Sexes,,,,,,,,,,,,,,,,
	 18 years and over,"34,785",88,132,193,331,337,509,"2,132","11,964","6,788","1,475","2,109","5,547","2,453",286,442
		  18 to 24 years,"4,722",8,5,8,11,31,61,621,"1,960","1,425",107,123,334,29,0,0
	 25 years and over,"30,062",79,128,185,320,306,448,"1,510","10,003","5,363","1,368","1,986","5,214","2,424",286,442
		  25 to 29 years,"3,572",2,0,14,17,8,41,103,"1,356",749,98,181,798,152,34,19
		  30 to 34 years,"3,670",1,5,4,19,12,29,145,"1,199",752,175,309,663,302,38,19
		  35 to 39 years,"3,242",12,15,5,21,26,53,136,922,560,166,255,681,279,47,63
		  40 to 44 years,"2,991",0,23,16,28,19,44,117,848,490,176,166,612,348,36,68
		  45 to 49 years,"2,691",9,3,8,6,29,25,106,852,479,155,175,487,295,25,39
		  50 to 54 years,"2,768",6,7,11,29,35,28,143,987,413,115,207,434,281,24,48
		  55 to 59 years,"2,710",7,10,12,18,29,39,169,962,466,121,186,435,207,20,28
		  60 to 64 years,"2,574",6,11,24,30,34,53,207,840,471,116,178,365,160,29,50
		  65 to 69 years,"2,132",11,11,20,37,31,39,148,698,420,113,132,276,145,10,42
		  70 to 74 years,"1,595",9,25,24,24,20,36,75,558,263,53,98,244,134,5,29
	 75 years and over,"2,117",16,19,47,91,64,61,163,782,300,80,98,220,121,17,37
Male,,,,,,,,,,,,,,,,
	 18 years and over,"15,987",37,70,100,156,171,265,"1,051","6,163","3,006",623,827,"2,367",862,128,161
		  18 to 24 years,"2,262",0,0,4,6,20,32,324,981,681,50,40,117,7,0,0
	 25 years and over,"13,725",37,70,95,150,152,233,728,"5,182","2,325",573,787,"2,251",855,128,161
		  25 to 29 years,"1,723",2,0,9,9,4,22,52,772,329,38,72,347,41,22,5
		  30 to 34 years,"1,735",1,1,4,17,2,9,65,647,342,73,148,281,119,22,4
		  35 to 39 years,"1,544",6,10,2,12,13,37,86,490,251,76,93,340,100,16,10
		  40 to 44 years,"1,371",0,12,6,11,12,26,65,477,247,51,70,242,103,17,34
		  45 to 49 years,"1,228",8,1,3,1,15,17,48,452,209,74,67,213,100,9,11
		  50 to 54 years,"1,264",3,3,7,13,12,16,68,522,180,53,73,204,74,13,22
		  55 to 59 years,"1,257",3,6,10,9,18,24,76,509,196,51,74,188,79,7,9
		  60 to 64 years,"1,103",4,10,6,20,17,21,108,424,170,45,54,124,69,9,23
		  65 to 69 years,999,2,4,7,19,23,20,80,362,165,55,64,126,59,2,9
		  70 to 74 years,683,3,18,12,10,9,15,26,226,124,22,39,100,60,4,17
	 75 years and over,817,6,5,29,31,27,26,55,301,111,34,33,85,51,6,17
Female,,,,,,,,,,,,,,,,
	 18 years and over,"18,798",51,62,93,175,165,244,"1,080","5,800","3,782",852,"1,282","3,180","1,591",158,281
		  18 to 24 years,"2,461",8,5,3,5,11,29,298,979,743,57,83,217,23,0,0
	 25 years and over,"16,337",43,58,90,170,154,215,783,"4,821","3,038",795,"1,199","2,963","1,569",158,281
		  25 to 29 years,"1,849",0,0,6,8,4,19,51,584,420,60,109,451,112,11,14
		  30 to 34 years,"1,935",0,4,0,2,10,20,79,551,410,102,162,382,183,16,15
		  35 to 39 years,"1,698",6,5,3,9,12,17,50,432,308,90,162,340,179,31,53
		  40 to 44 years,"1,620",0,11,9,18,7,19,52,371,243,126,97,369,244,20,35
		  45 to 49 years,"1,463",1,2,6,6,14,8,58,400,270,80,108,273,195,16,28
		  50 to 54 years,"1,504",4,4,4,16,23,13,75,465,233,61,134,230,207,11,25
		  55 to 59 years,"1,452",4,4,2,8,11,15,93,453,270,70,112,247,128,14,19
		  60 to 64 years,"1,470",3,1,17,10,17,32,99,416,301,71,124,241,92,20,27
		  65 to 69 years,"1,133",9,7,12,18,8,19,68,336,255,57,67,150,85,8,33
		  70 to 74 years,912,6,7,12,14,11,20,49,332,139,31,59,144,74,1,12
	 75 years and over,"1,300",10,14,18,60,37,35,108,481,189,46,64,135,70,11,20
"""Z"" represents rounds to zero. 0 represents true zero.",,,,,,,,,,,,,,,,
1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,
3 Includes people who earned GEDs.,,,,,,,,,,,,,,,,
Details may not sum to totals due to rounding.,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,
